RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,20005897,Steigrad,592,France,Male,42,2,0.0,2,1,0,31474.27,0
2,20009655,Hs?,599,Spain,Male,30,4,0.0,2,1,1,48108.72,0
3,20014348,Lei,600,Germany,Male,57,1,111347.37,1,0,1,32231.6,0
4,20021258,Niu,655,Spain,Male,18,7,0.0,1,1,0,110916.15,0
5,20006747,Wilson,713,Germany,Male,32,0,125406.58,1,1,0,189143.94,1
6,20024975,Y?an,636,France,Female,41,2,0.0,1,1,0,149653.81,0
7,20008113,Ugoji,427,Germany,Female,52,5,106414.57,2,1,1,41365.85,0
8,20008796,Giordano,813,France,Male,44,8,127421.78,2,1,0,180595.02,0
9,20020117,Walsh,686,France,Male,60,7,176166.56,2,1,1,172638.13,1
10,20024283,Izmailov,536,France,Male,32,6,0.0,2,1,1,61829.89,0
11,20000191,Maslov,741,Spain,Female,34,0,0.0,2,0,1,81718.37,0
12,20007383,Coffee,409,Spain,Male,44,2,107304.39,2,1,0,114996.43,1
13,20006120,Herbert,650,Germany,Female,39,9,111524.49,2,1,0,76068.95,0
14,20013386,Kirby,716,France,Female,32,6,68683.68,2,1,0,15467.98,1
15,20021404,Reid,654,France,Male,44,5,0.0,1,1,1,78416.14,1
16,20011264,Rooke,559,France,Male,29,2,75263.16,1,0,1,12096.61,0
17,20015644,O'Donnell,601,France,Male,31,1,117221.15,2,1,0,41233.97,0
18,20011432,Mathews,673,Germany,Female,33,10,0.0,2,1,1,192950.6,0
19,20002886,Davidson,585,Germany,Male,50,9,142724.48,2,1,1,109201.43,1
20,20003211,Chung,429,Germany,Female,39,3,133636.16,1,1,0,10054.53,0
21,20001245,Johnston,613,France,Male,44,3,171653.17,2,0,1,2755.53,1
22,20012845,Chidiebele,698,Germany,Male,47,2,74371.49,1,1,1,43036.6,0
23,20023288,Tsao,679,France,Male,55,6,0.0,1,1,0,1474.79,0
24,20011132,O'Donnell,569,France,Female,42,5,0.0,1,0,0,735.79,0
25,20001957,Lei,728,France,Female,43,9,127299.34,2,1,1,21254.06,0
26,20012450,Siciliani,634,Spain,Male,21,2,101207.75,1,1,0,154460.68,1
27,20001224,Power,606,France,Male,57,5,77627.33,2,1,1,124297.32,1
28,20020195,Woodhouse,676,France,Male,47,9,151218.98,1,1,0,184317.74,0
29,20019383,Bruno,825,France,Female,40,1,74135.85,1,1,0,9679.28,0
30,20013816,Otutodilinna,781,Spain,Female,31,10,85615.66,1,1,1,54191.38,0
31,20010963,Ramos,640,Spain,Female,38,7,108888.24,2,1,0,114279.63,0
32,20020260,Fleming,660,France,Male,25,8,105266.32,1,1,1,60212.51,0
33,20012666,Walker,693,Germany,Male,35,3,118894.22,2,1,0,14956.44,0
34,20018510,Chen,550,Spain,Male,47,7,0.0,1,1,1,82559.77,0
35,20003651,Lavine,734,France,Female,27,3,156569.43,2,1,1,11638.17,0
36,20011166,Fuller,614,France,Female,32,3,0.0,1,1,1,165122.55,1
37,20023263,Hovell,612,France,Male,39,10,0.0,1,0,0,28778.98,0
38,20014140,Marchesi,697,France,Female,56,2,148214.36,2,1,1,80130.54,0
39,20014805,Hill,553,France,Female,27,5,0.0,2,1,1,98060.51,1
40,20001503,Martin,500,France,Male,46,4,0.0,1,0,0,74870.99,0
41,20017748,Seleznyov,709,Spain,Male,27,1,171922.72,1,1,0,81102.81,0
42,20017087,Pisano,639,France,Male,34,8,0.0,1,0,0,168034.83,0
43,20014090,Liang,675,France,Female,40,2,0.0,1,0,0,50839.85,1
44,20011374,Hughes,484,France,Male,41,5,104832.49,2,1,0,151871.84,0
45,20014236,MacDonald,637,France,Male,49,1,0.0,1,1,1,17987.4,0
46,20005594,De Luca,713,France,Female,26,4,0.0,2,1,1,166335.0,0
47,20011526,Kuznetsova,676,France,Female,42,6,155180.56,1,0,1,86609.37,1
48,20017971,Long,746,Spain,Female,37,9,0.0,2,1,0,173617.09,0
49,20005264,Fontenot,466,Germany,Female,29,0,0.0,1,1,0,34338.21,0
50,20016481,Glennon,569,France,Male,57,6,56116.3,1,1,1,99341.87,0
51,20002793,Yegorov,778,Germany,Female,34,4,0.0,2,1,0,160162.42,0
52,20011175,Toscani,714,Germany,Male,42,3,0.0,2,1,1,31802.92,0
53,20016164,Williams,530,France,Female,42,1,142711.81,3,0,0,71492.28,0
54,20024225,Mirams,719,France,Male,37,3,124349.34,2,0,1,170307.43,0
55,20015541,Pisano,665,France,Female,49,10,110997.76,1,1,0,175544.02,0
56,20000077,Docherty,720,Germany,Male,52,8,0.0,2,1,1,78941.59,0
57,20000504,T'ien,517,France,Female,26,5,139070.51,2,0,1,107615.43,1
58,20022622,Booth,745,Spain,Male,40,9,127758.09,1,1,1,45779.9,0
59,20013689,John,536,Germany,Female,33,8,0.0,2,1,1,7156.09,1
60,20006510,Jen,401,Spain,Female,39,7,153538.13,2,1,1,29880.99,0
61,20002474,Hsueh,602,France,Male,52,8,61592.14,1,1,1,115842.1,0
62,20003798,Kazantseva,392,France,Male,53,8,88141.1,1,1,1,10921.5,0
63,20020790,Wall,593,France,Female,40,2,137624.4,1,1,0,164484.78,0
64,20016115,Hung,572,Spain,Male,58,7,190305.78,1,0,1,31892.82,1
65,20010083,Defalco,510,Germany,Male,43,3,72509.91,1,0,1,68293.93,0
66,20018720,Blackburn,575,France,Male,55,5,0.0,2,1,1,64815.05,1
67,20002421,Matveyeva,618,Germany,Male,35,6,0.0,1,1,1,48930.8,1
68,20013073,Toosey,652,Germany,Male,26,6,0.0,1,0,1,174123.16,0
69,20018400,Pagan,842,France,Female,24,2,133200.09,1,1,1,169278.51,0
70,20017948,White,668,France,Male,50,4,0.0,2,1,1,184243.25,0
71,20006115,De Luca,661,Germany,Female,28,7,127543.11,2,1,0,99907.29,1
72,20016403,Quinn,745,Spain,Female,60,6,0.0,1,1,1,57380.13,1
73,20005719,Kauffmann,619,Germany,Male,41,4,99760.84,1,1,1,1114.12,0
74,20021511,Anayochukwu,683,Spain,Female,39,5,114206.84,1,1,0,96270.64,0
75,20023869,Chukwuhaenye,765,Germany,Female,18,6,82547.11,1,0,0,77703.19,0
76,20006268,Cattaneo,700,Spain,Female,34,3,135020.21,2,0,0,133831.37,0
77,20004969,Cherkasova,741,France,Male,49,1,0.0,1,1,0,118142.79,1
78,20010364,Schwartz,609,France,Female,46,4,127723.25,1,1,1,71175.94,0
79,20017187,Saunders,580,Germany,Male,59,3,0.0,2,1,1,109742.8,0
80,20012013,Neumayer,823,France,Male,51,2,0.0,2,0,1,158697.28,0
81,20004988,Calabresi,757,Spain,Male,19,9,0.0,2,1,1,116503.92,1
82,20014763,Abernathy,699,Spain,Female,33,4,87485.67,3,0,0,150242.44,0
83,20004938,Arcuri,688,Germany,Male,34,2,148863.17,2,1,0,14174.09,0
84,20023190,Temple,511,France,Male,48,2,0.0,1,0,1,56562.57,0
85,20009087,Ts'ui,775,Germany,Female,49,6,123502.53,2,1,1,84635.64,0
86,20011078,Summerville,749,Germany,Female,37,10,150777.72,2,0,1,172363.41,0
87,20004631,Lord,778,Germany,Female,48,6,97259.25,2,1,0,138344.7,0
88,20022060,Johnstone,661,France,Female,40,10,81553.93,2,1,0,2139.25,0
89,20023564,Lombardo,656,Germany,Female,36,5,128065.12,2,1,0,3449.22,0
90,20019967,Reyes,575,France,Male,43,0,148884.47,2,1,0,82351.06,0
91,20020927,Nelson,588,Germany,Female,25,10,0.0,2,1,0,48571.14,0
92,20019946,Y?,718,France,Male,49,7,135070.58,1,1,0,156122.13,0
93,20003067,McDonald,581,France,Male,37,3,0.0,1,1,1,94153.83,1
94,20010897,Siciliani,736,France,Male,56,9,96479.81,2,0,0,162878.96,0
95,20023748,Padovano,754,France,Male,50,2,0.0,2,1,0,43921.36,1
96,20006626,Williams,718,Spain,Male,48,2,126212.64,1,1,0,54474.48,0
97,20005613,Ch'en,608,France,Female,33,4,0.0,1,1,0,9308.1,0
98,20000713,Miah,721,Germany,Female,31,1,135847.47,2,0,1,158750.53,1
99,20000165,Michel,699,Germany,Female,26,6,0.0,1,1,1,34453.17,0
100,20021073,Gordon,643,Germany,Female,24,7,108891.7,1,1,1,30379.6,0
